customer_id,region,acct_length,internation_plan,voicemail_plan,daytime_call_mins,evening_call_mins,nighttime_call_mins,customer_service_calls,churn,age
0,West North Central,128.0,no,yes,265.1,197.4,244.7,1.0,0,54
1,East North Central,107.0,no,yes,161.6,195.5,254.4,1.0,0,47
2,Middle Atlantic,137.0,no,no,243.4,121.2,162.6,0.0,0,48
3,East North Central,84.0,yes,no,299.4,61.9,196.9,2.0,0,57
4,West South Central,75.0,yes,no,166.7,148.3,186.9,3.0,0,40
5,East South Central,118.0,yes,no,223.4,220.6,203.9,0.0,0,54
6,New England,121.0,no,yes,218.2,348.5,212.6,3.0,0,45
7,West North Central,147.0,yes,no,157.0,103.1,211.8,0.0,0,51
8,West South Central,117.0,no,no,184.5,351.6,215.8,1.0,0,57
9,South Atlantic,141.0,yes,yes,258.6,222.0,326.4,0.0,0,54
10,East North Central,65.0,no,no,129.1,228.5,208.8,4.0,1,47
11,New England,74.0,no,no,187.7,163.4,196.0,0.0,0,41
12,West North Central,168.0,no,no,128.8,104.9,141.1,1.0,0,41
13,Mountain,95.0,no,no,156.6,247.6,192.3,3.0,0,47
14,West North Central,62.0,no,no,120.7,307.2,203.0,4.0,0,47
15,Middle Atlantic,161.0,no,no,332.9,317.8,160.6,4.0,1,31
16,Mountain,85.0,no,yes,196.4,280.9,89.3,1.0,0,49
17,New England,93.0,no,no,190.7,218.2,129.6,3.0,0,51
18,South Atlantic,76.0,no,yes,189.7,212.8,165.7,1.0,0,58
19,West South Central,73.0,no,no,224.4,159.5,192.8,1.0,0,48
20,South Atlantic,147.0,no,no,155.1,239.7,208.8,0.0,0,47
21,Mountain,77.0,no,no,62.4,169.9,209.6,5.0,1,53
22,Mountain,130.0,no,no,183.0,72.9,181.8,0.0,0,33
23,South Atlantic,111.0,no,no,110.4,137.3,189.6,2.0,0,43
24,South Atlantic,132.0,no,no,81.1,245.2,237.0,0.0,0,55
25,West North Central,174.0,no,no,124.3,277.1,250.7,3.0,0,56
26,Mountain,54.0,no,no,134.3,155.5,102.1,3.0,0,41
27,West North Central,20.0,no,no,190.0,258.2,181.5,0.0,0,47
28,Pacific,49.0,no,no,119.3,215.1,178.7,1.0,0,45
29,East North Central,142.0,no,no,84.8,136.7,250.5,2.0,0,51
30,New England,75.0,no,no,226.1,201.5,246.2,1.0,0,64
31,West South Central,172.0,no,no,212.0,31.2,293.3,3.0,0,35
32,Mountain,12.0,no,no,249.6,252.4,280.2,1.0,1,46
33,West South Central,57.0,no,yes,176.8,195.0,213.5,0.0,0,45
34,South Atlantic,72.0,no,yes,220.0,217.3,152.8,3.0,0,55
35,Pacific,36.0,no,yes,146.3,162.5,129.3,0.0,0,40
36,New England,78.0,no,no,130.8,223.7,227.8,1.0,0,58
37,Pacific,136.0,yes,yes,203.9,187.6,101.7,3.0,0,44
38,Middle Atlantic,149.0,no,no,140.4,271.8,188.3,1.0,0,43
39,South Atlantic,98.0,no,no,126.3,166.8,187.8,3.0,0,65
40,South Atlantic,135.0,yes,yes,173.1,203.9,122.2,0.0,1,59
41,West South Central,34.0,no,no,124.8,282.2,311.5,2.0,0,58
42,Mountain,160.0,no,no,85.8,165.3,178.5,3.0,0,69
43,East North Central,64.0,no,no,154.0,225.8,265.3,1.0,0,61
44,Pacific,59.0,no,yes,120.9,213.0,163.1,2.0,0,57
45,East North Central,65.0,no,no,211.3,162.6,134.7,3.0,0,45
46,South Atlantic,142.0,no,no,187.0,134.6,242.2,2.0,0,43
47,Mountain,119.0,no,no,159.1,231.3,143.2,5.0,1,61
48,Mountain,97.0,no,yes,133.2,217.2,70.6,1.0,0,44
49,West North Central,52.0,no,no,191.9,269.8,236.8,3.0,0,52
50,East North Central,60.0,no,no,220.6,211.1,249.0,1.0,0,56
51,South Atlantic,10.0,no,no,186.1,190.2,282.8,2.0,0,57
52,Mountain,96.0,no,no,160.2,267.5,228.5,2.0,0,55
53,Mountain,87.0,no,no,151.0,219.7,203.9,5.0,1,61
54,East North Central,81.0,no,no,175.5,249.3,270.2,1.0,0,56
55,Mountain,141.0,no,no,126.9,180.0,140.8,1.0,0,41
56,Mountain,121.0,no,yes,198.4,75.3,181.2,3.0,1,55
57,East North Central,68.0,no,no,148.8,246.5,129.8,3.0,0,59
58,West South Central,125.0,no,no,229.3,177.4,189.3,1.0,0,41
59,Mountain,174.0,no,no,192.1,169.9,166.6,1.0,0,42
60,Pacific,116.0,no,yes,268.6,178.2,166.3,2.0,0,39
61,West North Central,74.0,no,yes,193.7,246.1,138.0,2.0,0,43
62,West North Central,149.0,no,yes,180.7,187.8,265.5,3.0,0,53
63,South Atlantic,38.0,no,no,131.2,162.9,159.0,2.0,0,49
64,Pacific,40.0,no,yes,148.1,169.5,214.1,2.0,0,47
65,Mountain,43.0,yes,no,251.5,212.8,157.8,0.0,0,32
66,West North Central,113.0,yes,no,125.2,206.4,129.3,0.0,0,57
67,Mountain,126.0,no,no,211.6,216.9,153.5,1.0,0,53
68,West South Central,150.0,no,no,178.9,169.1,148.6,4.0,1,34
69,Middle Atlantic,138.0,no,no,241.8,170.5,295.3,3.0,0,53
70,West North Central,162.0,no,yes,224.9,188.2,254.6,0.0,0,48
71,Mountain,147.0,no,no,248.6,148.9,172.5,3.0,0,57
72,Mountain,90.0,no,no,203.4,226.7,152.4,1.0,0,48
73,Pacific,85.0,no,no,235.8,157.2,188.2,0.0,0,34
74,West North Central,50.0,no,no,157.1,223.3,181.4,1.0,0,61
75,South Atlantic,82.0,no,no,300.3,181.0,270.1,0.0,1,36
76,Middle Atlantic,144.0,no,no,61.6,77.1,173.0,4.0,1,64
77,West North Central,46.0,no,no,214.1,164.4,177.5,2.0,0,48
78,South Atlantic,70.0,no,no,170.2,155.2,228.6,1.0,0,46
79,South Atlantic,144.0,no,no,201.1,303.5,224.0,1.0,0,69
80,Pacific,116.0,yes,no,215.4,204.8,278.5,3.0,0,35
81,Mountain,55.0,no,yes,165.6,136.1,175.7,3.0,0,60
82,South Atlantic,70.0,no,yes,249.5,259.7,222.7,1.0,0,50
83,West South Central,106.0,no,no,210.6,249.2,191.4,2.0,1,48
84,New England,128.0,no,yes,179.3,225.9,323.0,0.0,0,44
85,East North Central,94.0,no,no,157.9,155.0,189.6,4.0,1,40
86,South Atlantic,111.0,no,no,214.3,208.5,182.4,1.0,0,56
87,East South Central,74.0,no,yes,154.1,123.4,202.1,2.0,0,53
88,Middle Atlantic,128.0,no,no,237.9,247.6,208.9,1.0,1,49
89,South Atlantic,82.0,no,no,143.9,194.9,109.6,1.0,0,48
90,West South Central,155.0,no,no,203.4,190.9,196.0,0.0,1,56
91,West South Central,80.0,no,no,124.3,173.0,253.2,1.0,0,46
92,New England,78.0,no,no,252.9,178.4,263.9,3.0,0,64
93,Mountain,90.0,no,no,179.1,190.6,127.7,3.0,0,59
94,Pacific,104.0,no,no,278.4,81.0,163.2,1.0,0,41
95,Mountain,73.0,no,no,160.1,213.3,174.1,0.0,0,48
96,Mountain,99.0,no,no,198.2,207.3,190.9,4.0,0,58
97,East South Central,120.0,no,no,212.1,209.4,167.2,1.0,1,68
98,Mountain,77.0,no,no,251.8,205.7,275.2,2.0,1,53
99,West North Central,98.0,no,yes,161.2,252.2,160.2,4.0,0,48
100,New England,108.0,no,no,178.3,189.0,129.1,0.0,0,36
101,New England,135.0,no,no,151.7,119.0,180.0,0.0,0,49
102,East South Central,95.0,no,no,135.0,183.6,245.3,1.0,0,46
103,East North Central,122.0,no,no,170.5,173.7,248.6,1.0,0,48
104,Mountain,95.0,no,no,238.1,187.2,190.0,4.0,0,53
105,East North Central,36.0,no,yes,281.4,202.2,187.2,2.0,0,61
106,Mountain,93.0,no,yes,117.9,164.5,217.0,1.0,0,61
107,Mountain,141.0,no,yes,148.6,131.1,219.4,1.0,0,41
108,Mountain,157.0,no,no,229.8,147.9,241.4,3.0,0,47
109,East North Central,120.0,no,no,165.0,317.2,119.2,1.0,0,41
110,New England,103.0,no,no,185.0,223.3,222.8,2.0,0,49
